gate_repair_cell_id,component_id,gate_edit_radius,word_length,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,word_symbol_13_id,word_symbol_14_id,word_symbol_15_id,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_node_12_id,trace_node_13_id,trace_node_14_id,trace_node_15_id,trace_node_16_id,trace_node_17_id,trace_node_18_id,trace_node_19_id,metric_gromov_delta_twice,trace_signature_total_variation,first_return_closed_path_count,normalized_tail_template_count,template_lift_count_min,template_lift_count_max,all_four_lift_flag,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,tail_entry_13_path_count,clear_flag,exact24_six_all_four_flag,left_boundary_flag,right_boundary_flag
10,1,2,13,2,1,4,3,1,2,5,2,5,2,1,4,5,-1,-1,-1,14,48,42,27,28,31,27,29,39,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,2,215,16,3,4,8,0,0,8,8,0,0,0,0,0
11,1,2,13,2,1,4,3,1,2,5,5,2,1,4,5,2,-1,-1,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,184,6,28,32,0,0,128,56,0,0,0,0,0
12,1,2,11,2,1,4,3,1,2,5,5,1,4,5,-1,-1,-1,-1,-1,11,48,42,27,28,31,27,29,45,35,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,217,28,5,4,8,0,0,16,12,0,0,0,0,0
13,1,2,13,2,1,4,3,1,5,2,5,5,2,1,4,5,-1,-1,-1,12,48,42,27,28,31,32,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,217,28,7,4,4,1,12,4,0,12,0,0,0,0
14,1,2,11,2,1,4,3,1,5,5,2,1,4,5,-1,-1,-1,-1,-1,12,48,42,27,28,31,32,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,219,28,7,4,4,1,12,4,0,12,0,0,0,0
15,0,2,13,2,1,3,4,5,1,4,5,5,2,1,4,5,-1,-1,-1,12,48,42,27,31,50,34,54,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,223,24,6,4,4,1,12,4,8,0,1,1,0,0
16,0,3,12,2,1,3,4,5,1,4,5,2,1,4,5,-1,-1,-1,-1,7,48,42,27,31,50,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,137,12,3,4,4,1,0,0,0,12,0,0,0,0
17,0,3,13,2,1,3,4,5,1,4,5,2,2,1,4,5,-1,-1,-1,7,48,42,27,31,50,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,137,36,9,4,4,1,0,16,20,0,1,0,0,0
18,0,3,14,2,1,3,4,5,1,4,5,2,5,2,1,4,5,-1,-1,7,48,42,27,31,50,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,137,12,3,4,4,1,0,4,8,0,0,0,0,0
19,0,3,15,2,1,3,4,5,1,4,5,2,5,5,2,1,4,5,-1,7,48,42,27,31,50,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,137,60,9,4,8,0,24,4,8,24,0,0,0,0
20,0,3,11,2,1,3,4,5,1,2,5,1,4,5,-1,-1,-1,-1,-1,9,48,42,27,31,50,34,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,153,4,1,4,4,1,0,0,0,0,0,0,0,0
21,0,3,13,2,1,3,4,5,1,2,5,4,1,1,4,5,-1,-1,-1,8,48,42,27,31,50,34,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,153,24,3,8,8,0,0,0,0,24,0,0,0,0
22,0,3,14,2,1,3,4,5,1,2,5,1,2,5,1,4,5,-1,-1,9,48,42,27,31,50,34,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,153,4,1,4,4,1,0,0,0,0,0,0,0,0
23,0,3,14,2,1,3,4,5,1,2,5,4,1,2,1,4,5,-1,-1,8,48,42,27,31,50,34,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,153,16,2,8,8,0,0,0,0,0,0,0,0,0
24,0,3,15,2,1,3,4,5,1,2,5,1,4,5,2,1,4,5,-1,9,48,42,27,31,50,34,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,153,12,3,4,4,1,0,0,0,12,0,0,0,0
25,0,3,15,2,1,3,4,5,1,2,5,4,1,5,2,1,4,5,-1,8,48,42,27,31,50,34,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,153,16,2,8,8,0,0,0,16,0,0,0,0,0
26,0,3,15,2,1,3,4,5,1,2,5,4,4,5,2,1,4,5,-1,8,48,42,27,31,50,34,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,153,96,3,32,32,0,0,0,0,96,0,0,0,0
27,0,3,11,2,1,3,4,1,2,5,2,1,4,5,-1,-1,-1,-1,-1,11,48,42,27,31,28,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,169,16,3,4,8,0,0,8,8,0,0,0,0,0
28,0,3,13,2,1,3,4,1,2,5,2,5,2,1,4,5,-1,-1,-1,13,48,42,27,31,28,29,39,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,169,16,3,4,8,0,0,8,8,0,0,0,0,0
29,0,3,13,2,1,3,4,1,2,5,5,2,1,4,5,2,-1,-1,-1,11,48,42,27,31,28,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,169,184,6,28,32,0,0,128,56,0,0,0,0,0
30,0,3,13,2,1,3,4,1,2,5,5,2,5,1,4,5,-1,-1,-1,10,48,42,27,31,28,29,45,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,169,28,1,28,28,0,0,0,28,0,0,0,0,0
31,2,3,15,2,1,3,4,1,2,5,1,2,5,5,2,1,4,5,-1,11,48,42,27,31,28,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,169,120,9,8,16,0,48,8,16,48,0,0,0,0
32,1,3,12,2,1,4,3,1,2,5,4,1,1,4,5,-1,-1,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,36,3,12,12,0,0,0,0,36,0,0,0,0
33,1,3,13,2,1,4,3,1,2,5,4,1,2,1,4,5,-1,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,24,2,12,12,0,0,0,0,0,0,0,0,0
34,1,3,14,2,1,4,3,1,2,5,4,1,5,2,1,4,5,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,24,2,12,12,0,0,0,24,0,0,0,0,0
35,1,3,14,2,1,4,3,1,2,5,4,4,5,2,1,4,5,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,144,3,48,48,0,0,0,0,144,0,0,0,0
36,1,3,10,2,1,4,3,1,5,2,1,4,5,-1,-1,-1,-1,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,8,2,4,4,1,0,0,8,0,0,0,0,0
37,1,3,13,2,1,4,3,1,5,2,1,5,2,1,4,5,-1,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,8,2,4,4,1,0,0,8,0,0,0,0,0
38,3,3,11,2,1,4,5,1,3,4,5,1,4,5,-1,-1,-1,-1,-1,10,48,42,27,28,34,32,31,50,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,189,4,2,2,2,0,0,0,0,0,0,0,0,0
39,0,3,13,2,1,3,4,5,1,2,5,2,1,4,5,2,-1,-1,-1,12,48,42,27,31,50,34,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,24,6,4,4,1,0,16,8,0,1,1,0,0
40,0,3,13,2,1,3,4,5,1,2,5,2,5,1,4,5,-1,-1,-1,12,48,42,27,31,50,34,29,39,45,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,4,1,4,4,1,0,0,4,0,0,0,0,0
41,0,3,14,2,1,3,4,5,1,2,5,2,2,5,1,4,5,-1,-1,11,48,42,27,31,50,34,29,39,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,195,20,3,4,8,0,0,0,4,0,0,0,0,0
42,0,3,15,2,1,3,4,5,1,2,5,1,2,5,2,1,4,5,-1,12,48,42,27,31,50,34,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,12,3,4,4,1,0,4,8,0,0,0,0,0
43,0,3,15,2,1,3,4,5,1,2,5,2,1,5,2,1,4,5,-1,12,48,42,27,31,50,34,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,16,2,8,8,0,0,0,16,0,0,0,0,0
44,0,3,15,2,1,3,4,5,1,2,5,2,2,5,2,1,4,5,-1,12,48,42,27,31,50,34,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,60,3,20,20,0,0,20,40,0,0,0,0,0
45,0,3,15,2,1,3,4,5,1,2,5,2,5,2,1,4,5,2,-1,14,48,42,27,31,50,34,29,39,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,2,195,24,6,4,4,1,0,16,8,0,1,1,0,0
46,0,3,15,2,1,3,4,5,1,2,5,2,5,2,5,1,4,5,-1,14,48,42,27,31,50,34,29,39,45,39,45,29,34,44,-1,-1,-1,-1,-1,-1,2,195,4,1,4,4,1,0,0,4,0,0,0,0,0
47,0,3,15,2,1,3,4,5,1,2,5,2,5,5,2,1,4,5,-1,13,48,42,27,31,50,34,29,39,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,195,60,9,4,8,0,24,4,8,24,0,0,0,0
48,0,3,15,2,1,3,4,5,1,2,5,5,2,1,4,5,2,2,-1,12,48,42,27,31,50,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,360,12,20,40,0,0,0,120,0,0,0,0,0
49,0,3,15,2,1,3,4,5,1,2,5,5,2,1,4,5,2,5,-1,12,48,42,27,31,50,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,120,4,20,40,0,0,0,40,0,0,0,0,0
50,0,3,15,2,1,3,4,5,1,2,5,5,2,2,5,1,4,5,-1,12,48,42,27,31,50,34,29,45,39,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,100,3,20,40,0,0,0,20,0,0,0,0,0
51,0,3,15,2,1,3,4,5,1,2,5,5,2,5,1,4,5,2,-1,11,48,42,27,31,50,34,29,45,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,195,40,2,20,20,0,0,40,0,0,0,0,0,0
52,0,3,15,2,1,3,4,5,1,2,5,5,2,5,2,1,4,5,-1,13,48,42,27,31,50,34,29,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,195,60,3,20,20,0,0,20,40,0,0,0,0,0
53,0,3,12,2,1,3,4,5,1,1,5,2,1,4,5,-1,-1,-1,-1,11,48,42,27,31,50,34,25,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,24,2,12,12,0,0,0,24,0,0,0,0,0
54,0,3,12,2,1,3,4,5,1,1,5,5,1,4,5,-1,-1,-1,-1,10,48,42,27,31,50,34,25,35,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,36,3,12,12,0,0,0,36,0,0,0,0,0
55,0,3,13,2,1,3,4,5,1,2,5,5,1,4,5,2,-1,-1,-1,11,48,42,27,31,50,34,29,45,35,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,40,6,4,8,0,16,8,0,16,0,0,0,0
56,0,3,14,2,1,3,4,5,1,1,5,5,2,1,4,5,2,-1,-1,13,48,42,27,31,50,34,25,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,197,168,6,24,36,0,0,96,72,0,0,0,0,0
57,0,3,14,2,1,3,4,5,1,1,5,5,2,5,1,4,5,-1,-1,12,48,42,27,31,50,34,25,35,45,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,197,36,1,36,36,0,0,0,36,0,0,0,0,0
58,0,3,14,2,1,3,4,5,1,2,5,2,5,5,1,4,5,-1,-1,12,48,42,27,31,50,34,29,39,45,35,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,197,20,5,4,4,1,0,8,12,0,0,0,0,0
59,0,3,15,2,1,3,4,5,1,2,5,1,1,5,2,1,4,5,-1,12,48,42,27,31,50,34,29,25,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,197,24,2,12,12,0,0,0,24,0,0,0,0,0
60,0,3,15,2,1,3,4,5,1,2,5,5,1,2,5,1,4,5,-1,12,48,42,27,31,50,34,29,45,35,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,197,20,1,20,20,0,0,0,0,0,0,0,0,0
61,0,3,15,2,1,3,4,5,1,2,5,5,2,5,5,1,4,5,-1,11,48,42,27,31,50,34,29,45,35,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,100,5,20,20,0,0,40,60,0,0,0,0,0
62,0,3,13,2,1,3,4,5,1,3,4,5,2,1,4,5,-1,-1,-1,10,48,42,27,31,50,34,32,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,199,24,3,8,8,0,0,0,0,24,0,0,0,0
63,1,3,12,2,1,4,3,1,2,5,2,1,4,5,2,-1,-1,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,32,6,4,8,0,0,16,16,0,0,0,0,0
64,1,3,14,2,1,4,3,1,2,5,1,2,5,2,1,4,5,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,24,3,8,8,0,0,8,16,0,0,0,0,0
65,1,3,14,2,1,4,3,1,2,5,2,1,5,2,1,4,5,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,24,2,12,12,0,0,0,24,0,0,0,0,0
66,1,3,14,2,1,4,3,1,2,5,2,2,5,2,1,4,5,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,92,3,28,32,0,0,28,64,0,0,0,0,0
67,1,3,14,2,1,4,3,1,2,5,2,5,2,1,4,5,2,-1,-1,14,48,42,27,28,31,27,29,39,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,2,215,32,6,4,8,0,0,16,16,0,0,0,0,0
68,1,3,14,2,1,4,3,1,2,5,2,5,5,2,1,4,5,-1,-1,13,48,42,27,28,31,27,29,39,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,215,92,9,4,12,0,36,4,16,36,0,0,0,0
69,1,3,14,2,1,4,3,1,2,5,5,2,1,4,5,2,2,-1,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,552,12,32,60,0,0,0,192,0,0,0,0,0
70,1,3,14,2,1,4,3,1,2,5,5,2,1,4,5,2,5,-1,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,184,4,32,60,0,0,0,64,0,0,0,0,0
71,1,3,14,2,1,4,3,1,2,5,5,2,5,2,1,4,5,-1,-1,13,48,42,27,28,31,27,29,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,215,92,3,28,32,0,0,28,64,0,0,0,0,0
72,1,3,15,2,1,4,3,1,2,5,1,2,5,5,2,1,4,5,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,120,9,8,16,0,48,8,16,48,0,0,0,0
73,1,3,12,2,1,4,3,1,2,5,5,1,4,5,2,-1,-1,-1,-1,11,48,42,27,28,31,27,29,45,35,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,217,56,6,4,12,0,24,8,0,24,0,0,0,0
74,1,3,12,2,1,4,3,1,5,2,5,2,1,4,5,-1,-1,-1,-1,13,48,42,27,28,31,32,29,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,217,8,2,4,4,1,0,0,8,0,0,0,0,0
75,1,3,13,2,1,4,3,1,5,2,2,5,2,1,4,5,-1,-1,-1,12,48,42,27,28,31,32,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,217,28,3,8,12,0,0,12,16,0,0,0,0,0
76,1,3,14,2,1,4,3,1,2,5,1,1,5,2,1,4,5,-1,-1,12,48,42,27,28,31,27,29,25,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,217,48,2,24,24,0,0,0,48,0,0,0,0,0
77,1,3,14,2,1,4,3,1,2,5,5,2,5,5,1,4,5,-1,-1,11,48,42,27,28,31,27,29,45,35,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,217,152,5,28,32,0,0,56,96,0,0,0,0,0
78,1,3,14,2,1,4,3,1,5,2,2,5,5,2,1,4,5,-1,-1,13,48,42,27,28,31,32,29,39,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,217,152,9,8,20,0,60,8,24,60,0,0,0,0
79,1,3,14,2,1,4,3,1,5,2,5,2,5,2,1,4,5,-1,-1,15,48,42,27,28,31,32,29,45,39,45,39,29,28,34,44,-1,-1,-1,-1,-1,2,217,8,2,4,4,1,0,0,8,0,0,0,0,0
80,1,3,14,2,1,4,3,1,5,2,5,5,2,1,4,5,2,-1,-1,12,48,42,27,28,31,32,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,217,56,6,8,12,0,0,32,24,0,0,0,0,0
81,1,3,12,2,1,4,3,1,5,5,2,1,4,5,2,-1,-1,-1,-1,12,48,42,27,28,31,32,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,219,56,6,8,12,0,0,32,24,0,0,0,0,0
82,1,3,13,2,1,4,3,1,5,5,2,5,2,1,4,5,-1,-1,-1,13,48,42,27,28,31,32,35,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,219,28,3,8,12,0,0,12,16,0,0,0,0,0
83,1,3,14,2,1,4,3,1,5,2,1,5,5,2,1,4,5,-1,-1,13,48,42,27,28,31,32,29,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,219,28,7,4,4,1,12,4,0,12,0,0,0,0
84,1,3,14,2,1,4,3,1,5,5,2,5,5,2,1,4,5,-1,-1,12,48,42,27,28,31,32,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,219,152,9,8,20,0,60,8,24,60,0,0,0,0
85,4,3,15,2,1,4,3,1,5,4,1,2,5,5,2,1,4,5,-1,14,48,42,27,28,31,32,34,28,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,2,221,92,9,4,12,0,36,4,16,36,0,0,0,0
86,5,3,15,2,1,4,5,1,3,4,1,2,5,5,2,1,4,5,-1,14,48,42,27,28,34,32,31,28,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,2,221,92,9,4,12,0,36,4,16,36,0,0,0,0
87,0,3,12,2,1,3,4,5,1,4,5,5,1,4,5,-1,-1,-1,-1,10,48,42,27,31,50,34,54,35,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,223,8,2,4,4,1,0,0,0,8,0,0,0,0
88,0,3,14,2,1,3,4,5,1,3,4,5,5,2,1,4,5,-1,-1,15,48,42,27,31,50,34,32,31,50,54,45,29,28,34,44,-1,-1,-1,-1,-1,2,223,48,6,8,8,0,24,8,16,0,0,0,0,0
89,0,3,14,2,1,3,4,5,1,4,5,5,2,1,4,5,2,-1,-1,12,48,42,27,31,50,34,54,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,223,48,6,8,8,0,0,32,16,0,0,0,0,0
90,0,3,14,2,1,3,4,5,1,4,5,5,2,5,1,4,5,-1,-1,11,48,42,27,31,50,34,54,45,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,223,8,1,8,8,0,0,0,8,0,0,0,0,0
